address,area,city,state,country,latitude,longitude,property_name,hotel_star_rating
"15th Mile, N.H.21,Manali, District Kullu,Himachal Pradesh",Others,Manali,Himachal Pradesh,India,32.1393865,77.1546599,Baragarh Regency,2
"A-585, Sushant Lok-1 ,Near Iffco Chowk Metro Station, Gurgaon",Sushant Lok,Gurgaon,Haryana,India,28.4720966,77.0725457,Asian Suites A- 585,0
"Cobra Vaddo,Calungate Baga Road, Bardez, Calangute, Goa",Calangute Area,Goa,Goa,India,15.54839798,73.75763376,Bevvan Resort,0
Simsa,Village Simsa,Manali,Himachal Pradesh,India,32.2236026,77.1858995,Apple Inn Cottage,2
"8180 Street No.-6,Arakashan Road,Paharganj",Paharganj,Delhi,Delhi,India,28.6467775,77.2127353,Anmol Hotel Pvt.Ltd,2
"Baga Beach, Calangute, Goa",Baga Area,Goa,Goa,India,15.56092347,73.74975872,Baia Do Sol (A Boutique Beach Resort),3
"K-69, Kalkaji",Kalkaji,Delhi,Delhi,India,28.5403197,77.2613326,Balaji Residency,2
"2638-2642 Gurudwara Road,Karol Bagh",Karol Bagh Area,Delhi,Delhi,India,28.65058813,77.194692,BB Palace-A Boutique Hotel,3
"85, gomes defence, III rd Avenue, vaishali nagar, Jaipur, Rajasthan",Others,Jaipur,Rajasthan,India,26.9047751,75.7488641,Art Inn Homestay,1
51 Amri Nagar south ex,South Extension,Delhi,Delhi,India,28.5732907,77.2219418,Arjun Homestay,0
"Ashirwad Enclave, Lakhimi Path, Jonali, R.G.Baruah Road,",Rg Baruah Road,Guwahati,Assam,India,26.16618281,91.77741357,Ashirwad Homestay,0
"Near Botanical Garden Metro Station,Sec  -  46",Others,NOIDA,Uttar Pradesh,India,28.5522379,77.3597194,Apna Ghar- Sector 46,0
"429, Sector-6, Rohini, Near Vidha Jain Public School",Rohini,Delhi,Delhi,India,28.7097476,77.1103954,Baba Guest House,0
"Village Gurdorh, Naggar Road, Manali,Distt. Kullu Himachal Pradesh",Naggar Road,Manali,Himachal Pradesh,India,32.2459026,77.1880853,Baragarh Villa,4
"Titawada, Nerul Bardez Goa",Candolim Area,Goa,Goa,India,15.5049283,73.7919103,Annapurna Guest House,0
